				Patch for Purists - Book Typo Fixes
				By Half11

Version: 4.0.2


Note: Khajiti|Khajiiti|Khajiit| typo fixes are controversial, so we kept those out.


Version 4.0.0 Update
--------------------------------------
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Mallam Ryon, Mage| ==> |Mouth Mallam Ryon|
Book:ID=bk_RealBarenziah5:Name=The Real Barenziah v V: |till when| ==> |until when|
Book:ID=BookSkill_Light Armor1:Name=The Rear Guard: |a apple| ==> |an apple|
Book:ID=bk_redbookofriddles:Name=The Red Book of Riddles: |diverse| ==> |divers| [though it appear I just introduced an error, this sentence is written in Elizabethan English, where "divers" was the correct spelling of "diverse"]
Book:ID=bk_tamrielicreligions:Name=The Ruins of Kemel-Ze: |Vvardenfel| ==> |Vvardenfell| [two instances]
Book:ID=bk_tamrielicreligions:Name=The Ruins of Kemel-Ze: |carven| ==> |carved|
Book:ID=bk_tamrielicreligions:Name=The Ruins of Kemel-Ze: |golden kind| ==> |golden king|
Book:ID=bk_thesevencurses:Name=The Seven Curses: |townfolk| ==> |townsfolk|
Book:ID=bk_thesevencurses:Name=The Seven Curses: |oath-breakers for their| ==> |oath-breaking for its|
Book:ID=bk_truenoblescode:Name=The True Noble's Code: |the Morrowind| ==> |Morrowind|
Book:ID=bk_truenoblescode:Name=The True Noble's Code: |show duty| ==> |shows duty|
Book:ID=bk_truenoblescode:Name=The True Noble's Code: |Redoran's warrior| ==> |Redoran's warriors|
Book:ID=bk_wildelves:Name=The Wild Elves: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bk_wildelves:Name=The Wild Elves: |Gwilym| ==> |Gwylim| [two instances]
Book:ID=bookskill_security2:Name=The Wolf Queen, Book I: |Magnus's| ==> |Magnus'|
Book:ID=bookskill_hand to hand2:Name=The Wolf Queen, Book II: |whose| ==> |whom|
Book:ID=bookskill_hand to hand2:Name=The Wolf Queen, Book II: |Vhokken idea| ==> |Vhokken's idea|
Book:ID=bookskill_hand to hand2:Name=The Wolf Queen, Book II: |it's isn't| ==> |it isn't|
Book:ID=bookskill_illusion1:Name=The Wolf Queen, Book III: |choses| ==> |chooses|
Book:ID=bookskill_illusion1:Name=The Wolf Queen, Book III: |will dead| ==> |will be dead|
Book:ID=bookskill_illusion1:Name=The Wolf Queen, Book III: |few months| ==> |few months'|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |Antiochus's| ==> |Antiochus'|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |great great great great great granduncle| ==> |great-great-great-great-great-granduncle|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |stain| ==> |strain|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |splitting| ==> |spitting|
Book:ID=bookskill_mercantile2:Name=The Wolf Queen, Book IV: |Artaeum.  The| ==> |Artaeum, the|
Book:ID=bookskill_speechcraft2:Name=The Wolf Queen, Book V: |Yokunda| ==> |Yokuda|
Book:ID=bookskill_speechcraft2:Name=The Wolf Queen, Book V: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=bookskill_speechcraft2:Name=The Wolf Queen, Book V: |days| ==> |days'|
Book:ID=bookskill_sneak1:Name=The Wolf Queen, Book VI: |the war may not permit it| ==> |thought the war may not have permitted it| [switched from past tense mid-sentence]
Book:ID=bookskill_speechcraft4:Name=The Wolf Queen, Book VII: |bath| ==> |bathe|
Book:ID=bookskill_speechcraft4:Name=The Wolf Queen, Book VII: |He had been| ==> |He has been|
Book:ID=BookSkill_Enchant2:Name=The Wolf Queen, Book VIII: |month long| ==> |month-long|
Book:ID=BookSkill_Enchant2:Name=The Wolf Queen, Book VIII: |Katarish| ==> |Katariah|
Book:ID=BookSkill_Enchant2:Name=The Wolf Queen, Book VIII: |coronated| ==> |coroneted|
Book:ID=bk_yellowbookofriddles:Name=The Yellow Book of Riddles: |[[The| ==> |[The|
Book:ID=bk_yellowbookofriddles:Name=The Yellow Book of Riddles: |conversation.]]| ==> |conversation.]|
Book:ID=bk_yellowbookofriddles:Name=The Yellow Book of Riddles: |Bosmer,| ==> |Bosmer|
Book:ID=bk_arrilles_tradehouse:Name=tradehouse notice: [name itself] |tradehouse notice| ==> |Tradehouse Notice|
Book:ID=bk_arrilles_tradehouse:Name=tradehouse notice: |Hereas| ==> |Whereas|
Book:ID=bk_arrilles_tradehouse:Name=tradehouse notice: |do not| ==> |does not|
Book:ID=bk_arrilles_tradehouse:Name=tradehouse notice: |doe not| ==> |shall not| [two instances]
Book:ID=bookskill_short blade1:Name=Unnamed Book: |nonexistant| ==> |nonexistent|
Book:ID=bookskill_short blade1:Name=Unnamed Book: |curiousity| ==> |curiosity|
Book:ID=bookskill_short blade1:Name=Unnamed Book: |blood stained| ==> |bloodstained|
Book:ID=bookskill_short blade1:Name=Unnamed Book: |targets| ==> |target's|
Book:ID=bookskill_short blade1:Name=Unnamed Book: |St Rilms| ==> |St. Rilms|
Book:ID=bk_vampiresofvvardenfell1:Name=Vampires of Vvardenfell, v I: |<DIV ALIGN="LEFT"><BR><BR>| ==> <DIV ALIGN="LEFT">| [last line of the book was an "orphan" on its own page; a typesetter would eliminate this]
Book:ID=bk_vampiresofvvardenfell2:Name=Vampires of Vvardenfell, v II: |from deliberately infecting| ==> |to deliberately infect|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |Cyrodilic| ==> |Cyrodiilic| [five instances]
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |Riddle-T'har| ==> |Riddle'Thar|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |diety| ==> |deity|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |Psijiic| ==> |Psijic|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |with Kynareth| ==> |with Kyne|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |the Golden| ==> |in the Golden|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |history.<BR>Y'ffre| ==> |history.<BR><BR>Y'ffre|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |He/she has| ==> |He has|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |he/she taught| ==> |he taught|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |he/she could| ==> |he could|
Book:ID=bk_varietiesoffaithintheempire:Name=Varieties of Faith...: |Knhaten| ==> |Knahaten|
Book:ID=bookskill_marksman3:Name=Vernaccus and Bourlor: |fledging| ==> |fledgling|
Book:ID=bookskill_marksman3:Name=Vernaccus and Bourlor: |Bal.<BR>“I| ==> |Bal.<BR><BR>“I|
Book:ID=bookskill_marksman3:Name=Vernaccus and Bourlor: |him.<BR>Then| ==> |him. Then|
Book:ID=bk_vivecandmephala:Name=Vivec and Mephala: |Almsivi| ==> |ALMSIVI|
Book:ID=bk_vivecandmephala:Name=Vivec and Mephala: |Almsivi's| ==> |ALMSIVI's|
Book:ID=bk_vivecandmephala:Name=Vivec and Mephala: |associated the| ==> |associated with the|
Book:ID=bookskill_restoration1:Name=Withershins: |censors| ==> |censers|
Book:ID=bookskill_restoration1:Name=Withershins: |wellworn| ==> |well-worn|
Book:ID=bookskill_restoration1:Name=Withershins: |headress| ==> |headdress|
Book:ID=bookskill_restoration1:Name=Withershins: |Cyrodilic| ==> |Cyrodiilic| [two instances]
Book:ID=BookSkill_Long Blade1:Name=Words and Philosophy: |Summurset| ==> |Summerset| [two instances]
Book:ID=BookSkill_Long Blade1:Name=Words and Philosophy: |than their| ==> |that their|
Book:ID=bk_wordsclanmother:Name=Words of Clan Mother Ahnissi: |desserts| ==> |deserts|
Book:ID=bk_ynglingledger:Name=Yngling's Ledger: |Redoran| ==> |Hlaalu|
Book:ID=bk_a1_11_zainsubaninotes:Name=Zainsubani's Notes: |Others  Ashlanders| ==> |Other Ashlander|

Tribunal
--------
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |linked to the| ==> |linked to the history of Tamriel.|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Liested| ==> |Listed|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Dark Elven goddess| ==> |Daedra| [note that this and following entries were all copied from the Morrowind book ID=bk_Yagrum's_Bookl:Name=Tamrielic Lore]
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |and the goddess| ==> |and the Daedra|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |It is she| ==> |It is he|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Ring of the Khajiit| ==> |Ring of Khajiit|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Mehrunes Razor| ==> |Mehrunes' Razor|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Mehrune's Razor| ==> |Mehrunes' Razor|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |lhas| ==> |has|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |it's weilder| ==> |its wielder|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |wearers| ==> |wearer's|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |Eidelon| ==> |Eleidon|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |sought after| ==> |sought-after|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |to be resist| ==> |to resist|
Book:ID=bk_Artifacts_Tamriel:Name=Famed Artifacts of Tamriel: |<BR>Daedric| ==> |<BR><BR>Daedric|
Book:ID=bk_Alen_note:Name=handwritten letter: [name itself] |handwritten| ==> |Handwritten|
Book:ID=bk_Alen_note:Name=handwritten letter: |handwritten letter<BR><BR>[Addressed| ==> |[Handwritten letter. Addressed|
Book:ID=bk_Alen_note:Name=handwritten letter: |your faithful| ==> |Your faithful|
Book:ID=bk_Irano_note:Name=handwritten note: [name itself] |handwritten| ==> |Handwritten|
Book:ID=bk_Irano_note:Name=handwritten note: |handwritten note<BR><BR>[A| ==> |[Handwritten note. A|
Book:ID=book_dwe_cogs00:Name=Old Dwemer Book: |maintenence| ==> |maintenance|
Book:ID=book_dwe_mach00:Name=Old Dwemer Book: |maintenence| ==> |maintenance|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |Cyrodilic| ==> |Cyrodiilic| [two instances]
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: | hat was| ==> |What was| [error not present in the original Morrowind edition bookskill_destruction1]
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |ashlander| ==> |Ashlander| [other instances were corrected from bookskill_destruction1 but one was missed]
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |been round| ==> |been 'round|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |crystalized| ==> |crystallized|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |expotentially| ==> |exponentially|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |similiar| ==> |similar|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |ANANA/IACHILLA| ==> |ANARA/IACHILLA| [two instances]
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |Anana/Iachilla| ==> |Anara/Iachilla|
Book:ID=bk_playscript:Name=The Horror of Castle Xyr: |torchs| ==> |torches|

Bloodmoon
---------
Book:ID=bk_Airship_Captains_Journal:Name=Airship Captain's Journal: |Ald'Ruhn| ==> |Ald'ruhn| [two instances]
Book:ID=bk_Airship_Captains_Journal:Name=Airship Captain's Journal: |they're| ==> |their|
Book:ID=bk_snowprince:Name=Fall of the Snow Prince: |shined| ==> |shone|
Book:ID=sc_witchnote:Name=Note from a Glenmoril Witch: |wil| ==> |will|
Book:ID=sc_witchnote:Name=Note from a Glenmoril Witch: |possible<BR>| ==> |possible.<BR><BR>|
Book:ID=sc_witchnote:Name=Note from a Glenmoril Witch: |it.<BR>| ==> |it.<BR><BR>|
Book:ID=sc_rumornote_bm:Name=Odd Rumor: |Solstheim....<BR>| ==> |Solstheim....<BR><BR>|
Book:ID=sc_fjaldingnote:Name=Old, Wet Note: |Jolgierr| ==> |Jolgeirr|
Book:ID=sc_Chappy_sniper_test:Name=sc_Chappy_sniper_test:Name=Scroll of the Hidden killer: [name itself] |the Hidden killer| ==> |The Hidden Killer|
Book:ID=sc_hiddenkiller:Name=Scroll of the Hidden Killer: [name itself]: |the| ==> |The|
Book:ID=bk_Sovngarde:Name=Sovngarde, a Reexamination: |wth| ==> |with|
Book:ID=bk_Sovngarde:Name=Sovngarde, a Reexamination: |of Skyrim| ==> |in Skyrim|
Book:ID=bk_BM_Aevar:Name=The Story of Aevar Stone-Singer: |shaman could| ==> |shamans could|
Book:ID=bk_ThirskHistory:Name=Thirsk, a History: |lie dormant| ==> |lay dormant|
Book:ID=bk_ThirskHistory:Name=Thirsk, a History: |Forth| ==> |Fort|
Book:ID=bk_ThirskHistory_revised_f:Name=Thirsk, a History -- Revised: |lie dormant| ==> |lay dormant|
Book:ID=bk_ThirskHistory_revised_f:Name=Thirsk, a History -- Revised: |work. <br>Expansion:| ==> |work.<br><br>Expansion:|
Book:ID=bk_ThirskHistory_revised_m:Name=Thirsk, a History -- Revised: |lie dormant| ==> |lay dormant|
Book:ID=bk_ThirskHistory_revised_m:Name=Thirsk, a History -- Revised: |work. <br>Expansion:| ==> |work.<br><br>Expansion:|
